Nomos, TaxPayers, Income, MeanIncome, ResultNO
Αθηνα,619354.333333333,13052004.6666667,21.0735663968,0.5832
Πειραιάς,303347,5313819,17.5172953746,0.6601
Θεσσαλονικη,564649,9565434,16.940495777,0.6036
Νομός Αιτωλοακαρνανίας ,106571,1419881,13.3233337399,0.609
Νομός Αργολίδος ,53063,756262,14.252153101,0.5765
Νομός Αρκαδίας ,43037,710189,16.5018240119,0.5643
Νομός Άρτας ,34319,516826,15.0594714298,0.5997
Νομός Αχαίας ,152456,2580991,16.9294157003,0.682
Νομός Βοιωτίας ,60543,944128,15.5943379086,0.6743
Νομός Γρεβενών ,16195,220886,13.6391478851,0.5431
Νομός Δράμας ,50745,718720,14.1633658489,0.5708
Νομός Δωδεκανήσου ,100333,1529795,15.2471769009,0.6484
Νομός Έβρου ,72269,1094201,15.1406688898,0.5464
Νομός Ευβοίας ,107101,1741117,16.2567763139,0.676
Νομός Ευρυτανίας ,8025,111418,13.8838629283,0.5589
Νομός Ζακύνθου ,20912,266091,12.724320964,0.6731
Νομός Ηλείας ,68901,925612,13.4339414522,0.65
Νομός Ημαθίας ,76374,1010025,13.2247230733,0.6458
Νομός Ηρακλείου ,142670,2286098,16.0236770169,0.7082
Νομός Θεσπρωτίας ,22284,306598,13.7586609226,0.5904
Νομός Ιωαννίνων ,81594,1367209,16.7562443317,0.5926
Νομός Καβάλας ,75044,1088336,14.5026384521,0.5867
Νομός Καρδίτσας ,58309,799629,13.7136462639,0.6092
Νομός Καστοριάς ,27038,341743,12.6393594201,0.5236
Νομός Κέρκυρας ,58779,803066,13.6624644856,0.7125
Νομός Κεφαλληνίας ,21699,313738,14.4586386469,0.6457
Νομός Κιλκίς ,41691,548416,13.1543018877,0.5774
Νομός Κοζάνης ,77211,1337996,17.329085234,0.6316
Νομός Κορινθίας ,74443,1172641,15.7521996695,0.6184
Νομός Κυκλάδων ,66399,1068360,16.0900013554,0.6273
Νομός Λακωνίας ,46062,583104,12.6591116321,0.5117
Νομός Λάρισας ,142064,2182500,15.3627942336,0.6184
Νομός Λασιθίου ,38239,569277,14.8873401501,0.6274
Νομός Λέσβου ,52745,797945,15.1283533984,0.6138
Νομός Λευκάδας ,12173,182459,14.9888277335,0.5834
Νομός Μαγνησίας ,101333,1665481,16.435721828,0.6637
Νομός Μεσσηνίας ,83071,1172458,14.1139266411,0.5684
Νομός Ξάνθης ,49239,665763,13.5210503869,0.6789
Νομός Πέλλης ,72228,907683,12.5669131085,0.6079
Νομός Πιερίας ,65547,855908,13.0579278991,0.6092
Νομός Πρέβεζας ,28815,432754,15.0183584938,0.5813
Νομός Ρεθύμνου ,35635,559141,15.690781535,0.6533
Νομός Ροδόπης ,49204,651725,13.2453662304,0.6346
Νομός Σάμου ,21931,332178,15.1465049473,0.7031
Νομός Σερρών ,92645,1193196,12.8792271574,0.5374
Νομός Τρικάλων ,68146,954496,14.0066328178,0.5867
Νομός Φθιώτιδας ,79112,1213649,15.3408964506,0.6011
Νομός Φλώρινας ,25370,375787,14.8122585731,0.6289
Νομός Φωκίδας ,14147,229618,16.2308616668,0.5736
Νομός Χαλκιδικής ,51485,697370,13.5451102263,0.5915
Νομός Χανίων ,78867,1212019,15.3678851738,0.7377
Νομός Χίου ,28944,495126,17.1063432836,0.5384
